redirect_id,old_urls,current_url,suffix,template,record_name,handler,record_id,page_number,row_index,parsed_at,method
page_1_172,додати,/rozdrib,/,Структура сайту,Роздрібні презервативи,4,1009,1,15,2025-08-20T22:09:31.802083,super_optimized_evaluate_all
page_1_212,додати,/zavantazhennya-logotipu,/,Новини,Завантаження логотипу,172,33,1,16,2025-08-20T22:09:31.802084,super_optimized_evaluate_all
page_1_221,додати,/osnovni-etapi-zapusku-internet-magazinu,/,Новини,Основні етапи запуску інтернет-магазину,172,34,1,17,2025-08-20T22:09:31.802085,super_optimized_evaluate_all
page_1_222,додати,/chek-list-shcho-potribno-pereviriti-pered-pidkluchennyam-domenu,/,Новини,Чек-ліст: що потрібно перевірити перед підключенням домену,172,35,1,18,2025-08-20T22:09:31.802086,super_optimized_evaluate_all
page_1_223,додати,/pidkazki-dlya-kharakteristik,/,Новини,Підказки для характеристик,172,36,1,19,2025-08-20T22:09:31.802087,super_optimized_evaluate_all
page_1_563,додати,/polityka-konfidentsiinosti,/,Структура сайту,Політика конфіденційності,4,1052,1,20,2025-08-20T22:09:31.802088,super_optimized_evaluate_all
page_1_564,додати,/store-reviews,/,Структура сайту,Відгуки про магазин,4,1053,1,21,2025-08-20T22:09:31.802089,super_optimized_evaluate_all
page_1_565,додати,/siteindex,/,Структура сайту,Мапа сайту,4,1054,1,22,2025-08-20T22:09:31.802091,super_optimized_evaluate_all
page_1_566,додати,/prezervatyvy,/,Структура сайту,Презервативи,4,1055,1,23,2025-08-20T22:09:31.802092,super_optimized_evaluate_all
page_1_567,додати,/igrashky,/,Структура сайту,Іграшки,4,1056,1,24,2025-08-20T22:09:31.802093,super_optimized_evaluate_all
page_1_568,додати,/cosmetics,/,Структура сайту,Косметика,4,1057,1,25,2025-08-20T22:09:31.802094,super_optimized_evaluate_all
page_1_570,додати,/dlia-nei,/,Структура сайту,Іграшки для неї,4,1059,1,26,2025-08-20T22:09:31.802095,super_optimized_evaluate_all
page_1_571,додати,/dlia-noho,/,Структура сайту,Іграшки для нього,4,1060,1,27,2025-08-20T22:09:31.802096,super_optimized_evaluate_all
page_1_572,додати,/kosmetyka-dlia-nei,/,Структура сайту,Косметика для неї,4,1061,1,28,2025-08-20T22:09:31.802097,super_optimized_evaluate_all
page_1_573,додати,/ridki-vibratory,/,Структура сайту,Рідкі вібратори,4,1062,1,29,2025-08-20T22:09:31.802098,super_optimized_evaluate_all
page_1_574,додати,/zbudzhuiuchi-zasoby,/,Структура сайту,Збуджуючі засоби,4,1063,1,30,2025-08-20T22:09:31.802099,super_optimized_evaluate_all
page_1_575,додати,/zasoby-dlia-tila,/,Структура сайту,Засоби для тіла,4,1064,1,31,2025-08-20T22:09:31.802100,super_optimized_evaluate_all
page_1_576,додати,/kosmetyka-dlia-noho,/,Структура сайту,Косметика для нього,4,1065,1,32,2025-08-20T22:09:31.802101,super_optimized_evaluate_all
page_1_577,додати,/dlia-posylennia-erektsii,/,Структура сайту,Для посилення ерекції,4,1066,1,33,2025-08-20T22:09:31.802102,super_optimized_evaluate_all
page_1_578,додати,/prolonhatory,/,Структура сайту,Пролонгатори,4,1067,1,34,2025-08-20T22:09:31.802103,super_optimized_evaluate_all
page_1_580,додати,/kosmetyka-dlia-par,/,Структура сайту,Косметика для пар,4,1069,1,35,2025-08-20T22:09:31.802104,super_optimized_evaluate_all
page_1_607,додати,/orgie,/,Бренди,Orgie,349,95,1,36,2025-08-20T22:09:31.802105,super_optimized_evaluate_all
page_1_609,додати,/prezervativy-one,/,Структура сайту,Презервативи ONE,4,1073,1,37,2025-08-20T22:09:31.802106,super_optimized_evaluate_all
page_1_610,додати,/prezervativy-skyn,/,Структура сайту,Презервативи SKYN,4,1074,1,38,2025-08-20T22:09:31.802107,super_optimized_evaluate_all
page_1_611,додати,/iphone-12-pro-max-128gb-graphite,/,КАТАЛОГ,289,17,289,1,39,2025-08-20T22:09:31.802108,super_optimized_evaluate_all
page_1_774,додати,/upakovky-one,/,Структура сайту,Упаковки ONE,4,1075,1,40,2025-08-20T22:09:31.802109,super_optimized_evaluate_all
page_1_775,додати,/trojan,/,Структура сайту,Упаковки Trojan,4,1076,1,41,2025-08-20T22:09:31.802110,super_optimized_evaluate_all
page_1_776,додати,/inshi,/,Структура сайту,Інші презервативи,4,1077,1,42,2025-08-20T22:09:31.802111,super_optimized_evaluate_all
page_1_838,додати,/upakovky-skyn,/,Структура сайту,Упаковки SKYN,4,1082,1,43,2025-08-20T22:09:31.802113,super_optimized_evaluate_all
page_1_839,додати,/upakovky-kimono,/,Структура сайту,Упаковки Kimono,4,1083,1,44,2025-08-20T22:09:31.802114,super_optimized_evaluate_all
page_1_840,додати,/inshi-upakovky,/,Структура сайту,Інші упаковки,4,1084,1,45,2025-08-20T22:09:31.802115,super_optimized_evaluate_all
page_1_841,додати,/probnyky-lubrykantiv,/,Структура сайту,Пробники лубрикантів,4,1085,1,46,2025-08-20T22:09:31.802116,super_optimized_evaluate_all
page_1_842,додати,/ihrashky-dlia-par,/,Структура сайту,Іграшки для пар,4,1086,1,47,2025-08-20T22:09:31.802118,super_optimized_evaluate_all
page_1_843,додати,/analni,/,Структура сайту,Анальні іграшки,4,1087,1,48,2025-08-20T22:09:31.802120,super_optimized_evaluate_all
page_1_844,додати,/zasoby-dlia-dohliadu,/,Структура сайту,Засоби для догляду,4,1088,1,49,2025-08-20T22:09:31.802121,super_optimized_evaluate_all
page_1_845,додати,/bdsm,/,Структура сайту,БДСМ,4,1089,1,50,2025-08-20T22:09:31.802122,super_optimized_evaluate_all
page_1_846,додати,/ihry,/,Структура сайту,Ігри 18+,4,1090,1,51,2025-08-20T22:09:31.802123,super_optimized_evaluate_all
page_1_847,додати,/vakuumni-stymuliatory,/,Структура сайту,Вакуумні стимулятори,4,1091,1,52,2025-08-20T22:09:31.802124,super_optimized_evaluate_all
page_1_849,додати,/hihiyena-ta-zdorovya,/,Структура сайту,Гігієна та здоров'я,4,1093,1,53,2025-08-20T22:09:31.802125,super_optimized_evaluate_all
page_1_852,додати,/vibratory-krolyky,/,Структура сайту,Вібратори-кролики,4,1096,1,54,2025-08-20T22:09:31.802126,super_optimized_evaluate_all
page_1_853,додати,/na-dystantsiynomu-keruvanni,/,Структура сайту,Віброяйця,4,1097,1,55,2025-08-20T22:09:31.802127,super_optimized_evaluate_all
page_1_855,додати,/vibrokuli,/,Структура сайту,Віброкулі,4,1099,1,56,2025-08-20T22:09:31.802128,super_optimized_evaluate_all
page_1_857,додати,/klitoralni-vibratory,/,Структура сайту,Кліторальні вібратори,4,1101,1,57,2025-08-20T22:09:31.802129,super_optimized_evaluate_all
page_1_858,додати,/klasychni-vibratory,/,Структура сайту,Класичні вібратори,4,1102,1,58,2025-08-20T22:09:31.802130,super_optimized_evaluate_all
page_1_859,додати,/vibratory-dlia-tochky-g,/,Структура сайту,Вібратори для точки G,4,1103,1,59,2025-08-20T22:09:31.802131,super_optimized_evaluate_all
page_1_860,додати,/vibrokiltsia,/,Структура сайту,Віброкільця,4,1104,1,60,2025-08-20T22:09:31.802132,super_optimized_evaluate_all
page_1_861,додати,/masturbatory,/,Структура сайту,Мастурбатори,4,1105,1,61,2025-08-20T22:09:31.802133,super_optimized_evaluate_all
page_1_862,додати,/analni-probky,/,Структура сайту,Анальні пробки,4,1106,1,62,2025-08-20T22:09:31.802134,super_optimized_evaluate_all
page_1_863,додати,/analni-vibratory,/,Структура сайту,Анальні вібратори,4,1107,1,63,2025-08-20T22:09:31.802135,super_optimized_evaluate_all
page_1_864,додати,/dlia-masazhu,/,Структура сайту,Для масажу,4,1108,1,64,2025-08-20T22:09:31.802136,super_optimized_evaluate_all
page_1_865,додати,/dlia-oralnoho-seksu,/,Структура сайту,Для орального сексу,4,1109,1,65,2025-08-20T22:09:31.802137,super_optimized_evaluate_all
page_1_866,додати,/probnyky-kosmetyky,/,Структура сайту,Пробники косметики,4,1110,1,66,2025-08-20T22:09:31.802138,super_optimized_evaluate_all
page_1_867,додати,/mister-size,/,Бренди,Mister Size,349,96,1,67,2025-08-20T22:09:31.802139,super_optimized_evaluate_all
page_1_868,додати,/trojan-brand,/,Бренди,Trojan,349,97,1,68,2025-08-20T22:09:31.802140,super_optimized_evaluate_all
page_1_869,додати,/einhorn-brand,/,Бренди,Einhorn,349,98,1,69,2025-08-20T22:09:31.802141,super_optimized_evaluate_all
page_1_870,додати,/sagami,/,Бренди,Sagami,349,99,1,70,2025-08-20T22:09:31.802142,super_optimized_evaluate_all
page_1_871,додати,/bijoux-indiscrets,/,Бренди,Bijoux Indiscrets,349,100,1,71,2025-08-20T22:09:31.802143,super_optimized_evaluate_all
page_1_872,додати,/shiatsu,/,Бренди,SHIATSU,349,101,1,72,2025-08-20T22:09:31.802144,super_optimized_evaluate_all
page_1_873,додати,/satisfyer,/,Бренди,Satisfyer,349,102,1,73,2025-08-20T22:09:31.802145,super_optimized_evaluate_all
page_1_874,додати,/system-jo,/,Бренди,System JO,349,103,1,74,2025-08-20T22:09:31.802146,super_optimized_evaluate_all
page_1_875,додати,/uberlube,/,Бренди,Uberlube,349,104,1,75,2025-08-20T22:09:31.802147,super_optimized_evaluate_all
page_1_876,додати,/pjur,/,Бренди,Pjur,349,105,1,76,2025-08-20T22:09:31.802148,super_optimized_evaluate_all
page_1_878,додати,/klasychni-lubrikanty,/,Структура сайту,Класичні лубриканти,4,1111,1,77,2025-08-20T22:09:31.802149,super_optimized_evaluate_all
page_1_879,додати,/oralni,/,Структура сайту,Оральні лубриканти,4,1112,1,78,2025-08-20T22:09:31.802150,super_optimized_evaluate_all
page_1_880,додати,/analni-lubrykanty,/,Структура сайту,Анальні лубриканти,4,1113,1,79,2025-08-20T22:09:31.802151,super_optimized_evaluate_all
page_1_881,додати,/tenga,/,Бренди,Tenga,349,106,1,80,2025-08-20T22:09:31.802152,super_optimized_evaluate_all
page_1_882,додати,/dream-toys,/,Бренди,Dream Toys,349,107,1,81,2025-08-20T22:09:31.802153,super_optimized_evaluate_all
page_1_883,додати,/lovense,/,Бренди,Lovense,349,108,1,82,2025-08-20T22:09:31.802154,super_optimized_evaluate_all
page_1_884,додати,/exs,/,Структура сайту,Презервативи EXS,4,1114,1,83,2025-08-20T22:09:31.802155,super_optimized_evaluate_all
page_1_885,додати,/pasante,/,Структура сайту,Презервативи Pasante,4,1115,1,84,2025-08-20T22:09:31.802156,super_optimized_evaluate_all
page_1_886,додати,/oralni-prezervatyvy,/,Структура сайту,Оральні презервативи,4,1116,1,85,2025-08-20T22:09:31.802157,super_optimized_evaluate_all
page_1_887,додати,/bijoux-indiscrets-sex-au-naturel-personal-massager,/,КАТАЛОГ,Кліторальний стимулятор Bijoux Indiscrets Sex au Naturel — Personal Massager,17,513,1,86,2025-08-20T22:09:31.802160,super_optimized_evaluate_all
page_1_889,додати,/prezervatyvy-z-velykoiu-kilkistiu-zmazky-one-super-sensitive,/,КАТАЛОГ,Презервативи з великою кількістю змазки ONE Super Sensitive,17,515,1,87,2025-08-20T22:09:31.802172,super_optimized_evaluate_all
page_1_891,додати,/kolorovi-prezervatyvy-one-color-sensations,/,КАТАЛОГ,Кольорові презервативи ONE Color Sensations,17,517,1,88,2025-08-20T22:09:31.802174,super_optimized_evaluate_all
page_1_894,додати,/prezervatyvy-velykoho-rozmiru-one-legend,/,КАТАЛОГ,Презервативи великого розміру ONE Legend,17,520,1,89,2025-08-20T22:09:31.802175,super_optimized_evaluate_all
page_1_902,додати,/bezlateksni-prezervatyvy-z-velykoiu-kilkistiu-zmazky-skyn-extra-lube,/,КАТАЛОГ,Безлатексні презервативи з великою кількістю змазки SKYN Extra Lube,17,528,1,90,2025-08-20T22:09:31.802176,super_optimized_evaluate_all
page_1_904,додати,/bezlateksni-prezervatyvy-velykoho-rozmiru-skyn-large,/,КАТАЛОГ,Безлатексні презервативи великого розміру SKYN Large,17,530,1,91,2025-08-20T22:09:31.802177,super_optimized_evaluate_all
page_1_907,додати,/ultratonki-prezervatyvy-pasante-sensitive-feel,/,КАТАЛОГ,Ультратонкі презервативи Pasante Sensitive Feel,17,533,1,92,2025-08-20T22:09:31.802178,super_optimized_evaluate_all
page_1_913,додати,/prezervatyvy-dlia-zakokhanykh-exs-love-heart,/,КАТАЛОГ,Презервативи для закоханих EXS Love Heart,17,539,1,93,2025-08-20T22:09:31.802179,super_optimized_evaluate_all
page_1_932,додати,/upakovka-3sht-one-super-sensitive,/,КАТАЛОГ,Упаковка 3шт ONE Super Sensitive,17,558,1,94,2025-08-20T22:09:31.802180,super_optimized_evaluate_all
page_1_934,додати,/upakovka-3sht-one-tattoo-touch,/,КАТАЛОГ,Упаковка 3шт One Tattoo Touch,17,560,1,95,2025-08-20T22:09:31.802181,super_optimized_evaluate_all
page_1_936,додати,/upakovka-3sht-one-mixed-pleasures,/,КАТАЛОГ,Упаковка 3шт ONE Mixed Pleasures,17,562,1,96,2025-08-20T22:09:31.802182,super_optimized_evaluate_all
page_1_937,додати,/upakovka-12sht-one-super-sensitive,/,КАТАЛОГ,Упаковка 12шт ONE Super Sensitive,17,563,1,97,2025-08-20T22:09:31.802183,super_optimized_evaluate_all
page_1_938,додати,/upakovka-12sht-one-super-studs,/,КАТАЛОГ,Упаковка 12шт ONE Super Studs,17,564,1,98,2025-08-20T22:09:31.802184,super_optimized_evaluate_all
page_1_939,додати,/upakovka-12sht-one-flavor-waves,/,КАТАЛОГ,Упаковка 12шт ONE Flavor Waves,17,565,1,99,2025-08-20T22:09:31.802185,super_optimized_evaluate_all
page_1_940,додати,/upakovka-12sht-one-pleasure-plus,/,КАТАЛОГ,Упаковка 12шт ONE Pleasure Plus,17,566,1,100,2025-08-20T22:09:31.802186,super_optimized_evaluate_all
page_1_942,додати,/upakovka-10sht-one-ultrafeel,/,КАТАЛОГ,Упаковка 10шт ONE UltraFeel,17,568,1,101,2025-08-20T22:09:31.802187,super_optimized_evaluate_all
page_1_943,додати,/upakovka-12sht-one-tattoo-touch,/,КАТАЛОГ,Упаковка 12шт ONE Tattoo Touch,17,569,1,102,2025-08-20T22:09:31.802188,super_optimized_evaluate_all
page_1_945,додати,/upakovka-24sht-one-mixed-pleasures,/,КАТАЛОГ,Упаковка 24шт ONE Mixed Pleasures,17,571,1,103,2025-08-20T22:09:31.802189,super_optimized_evaluate_all
page_1_946,додати,/upakovka-24sht-one-premium-pleasures,/,КАТАЛОГ,Упаковка 24шт ONE Premium Pleasures,17,572,1,104,2025-08-20T22:09:31.802190,super_optimized_evaluate_all
page_1_947,додати,/upakovka-40sht-one-vanish,/,КАТАЛОГ,Упаковка 40шт ONE Vanish,17,573,1,105,2025-08-20T22:09:31.802191,super_optimized_evaluate_all
page_1_950,додати,/upakovka-100sht-one-vanish,/,КАТАЛОГ,Упаковка 100шт ONE Vanish,17,576,1,106,2025-08-20T22:09:31.802192,super_optimized_evaluate_all
page_1_952,додати,/upakovka-100sht-one-tattoo-touch,/,КАТАЛОГ,Упаковка 100шт ONE Tattoo Touch,17,578,1,107,2025-08-20T22:09:31.802193,super_optimized_evaluate_all
page_1_954,додати,/upakovka-3sht-trojan-charged,/,КАТАЛОГ,Упаковка 3шт Trojan Charged,17,580,1,108,2025-08-20T22:09:31.802194,super_optimized_evaluate_all
page_1_957,додати,/upakovka-3sht-trojan-double-ecstasy,/,КАТАЛОГ,Упаковка 3шт Trojan Double Ecstasy,17,583,1,109,2025-08-20T22:09:31.802195,super_optimized_evaluate_all
page_1_959,додати,/upakovka-3sht-trojan-enz-armor-spermicidal,/,КАТАЛОГ,Упаковка презервативів 3шт Trojan ENZ Armor Spermicidal,17,585,1,110,2025-08-20T22:09:31.802196,super_optimized_evaluate_all
page_1_961,додати,/upakovka-3sht-trojan-ultra-thin,/,КАТАЛОГ,Упаковка презеративів 3шт Trojan Ultra Thin,17,587,1,111,2025-08-20T22:09:31.802197,super_optimized_evaluate_all
page_1_965,додати,/upakovka-24sht-trojan-bareskin-everythin,/,КАТАЛОГ,Упаковка 24шт Trojan BareSkin EveryThin,17,591,1,112,2025-08-20T22:09:31.802198,super_optimized_evaluate_all
page_1_966,додати,/upakovka-24sht-trojan-nirvana,/,КАТАЛОГ,Упаковка 24шт Trojan Nirvana,17,592,1,113,2025-08-20T22:09:31.802199,super_optimized_evaluate_all
page_1_967,додати,/upakovka-36sht-trojan-pleasure-pack,/,КАТАЛОГ,Упаковка 36шт Trojan Pleasure Pack,17,593,1,114,2025-08-20T22:09:31.802200,super_optimized_evaluate_all
page_1_968,додати,/upakovka-40sht-trojan-enz-lubricated,/,КАТАЛОГ,Упаковка 40шт Trojan ENZ Lubricated,17,594,1,115,2025-08-20T22:09:31.802201,super_optimized_evaluate_all
page_1_973,додати,/upakovka-10sht-skyn-extra-lube,/,КАТАЛОГ,Упаковка 10шт SKYN Extra Lube,17,599,1,116,2025-08-20T22:09:31.802202,super_optimized_evaluate_all
page_1_974,додати,/upakovka-14sht-skyn-unknown-pleasures,/,КАТАЛОГ,Упаковка 14шт SKYN Unknown Pleasures,17,600,1,117,2025-08-20T22:09:31.802203,super_optimized_evaluate_all
page_1_977,додати,/upakovka-24sht-skyn-selection,/,КАТАЛОГ,Упаковка 24шт SKYN Selection,17,603,1,118,2025-08-20T22:09:31.802204,super_optimized_evaluate_all
page_1_978,додати,/upakovka-35sht-skyn-selection,/,КАТАЛОГ,Упаковка 35шт SKYN Selection,17,604,1,119,2025-08-20T22:09:31.802205,super_optimized_evaluate_all
page_1_979,додати,/upakovka-42sht-skyn-unknown-pleasures,/,КАТАЛОГ,Упаковка 42шт SKYN Unknown Pleasures,17,605,1,120,2025-08-20T22:09:31.802207,super_optimized_evaluate_all
page_1_982,додати,/upakovka-36sht-skyn-large,/,КАТАЛОГ,Упаковка 36шт SKYN Large,17,608,1,121,2025-08-20T22:09:31.802207,super_optimized_evaluate_all
page_1_983,додати,/upakovka-24sht-kimono-microthin,/,КАТАЛОГ,Упаковка презервативів 24шт Kimono MicroThin,17,609,1,122,2025-08-20T22:09:31.802208,super_optimized_evaluate_all
page_1_984,додати,/upakovka-24sht-kimono-microthin-plus,/,КАТАЛОГ,Упаковка 24шт Kimono MicroThin Plus,17,610,1,123,2025-08-20T22:09:31.802209,super_optimized_evaluate_all
page_1_985,додати,/upakovka-24sht-kimono-microthin-sheer-variety-pack,/,КАТАЛОГ,Упаковка презервативів 24шт Kimono MicroThin Sheer Variety Pack,17,611,1,124,2025-08-20T22:09:31.802210,super_optimized_evaluate_all
page_1_987,додати,/upakovka-24sht-004,/,КАТАЛОГ,Упаковка 24шт 004,17,613,1,125,2025-08-20T22:09:31.802211,super_optimized_evaluate_all
page_1_988,додати,/upakovka-2sht-poliuretanovykh-prezervatyviv-sagami-002,/,КАТАЛОГ,Упаковка 2шт поліуретанових презервативів Sagami 002,17,614,1,126,2025-08-20T22:09:31.802212,super_optimized_evaluate_all
page_1_989,додати,/upakovka-10sht-fair-squared-single-lover-mix,/,КАТАЛОГ,Упаковка 10шт Fair Squared Single: Love*r Mix,17,615,1,127,2025-08-20T22:09:31.802215,super_optimized_evaluate_all
page_1_990,додати,/upakovka-36sht-nadtonkykh-prezervatyviv-velykoho-rozmiru-lelo-hex,/,КАТАЛОГ,Упаковка 36шт надтонких презервативів великого розміру Lelo Hex,17,616,1,128,2025-08-20T22:09:31.802216,super_optimized_evaluate_all
page_1_991,додати,/upakovka-36sht-nadtonkykh-prezervatyviv-lelo-hex,/,КАТАЛОГ,Упаковка 36шт надтонких презервативів Lelo Hex,17,617,1,129,2025-08-20T22:09:31.802217,super_optimized_evaluate_all
page_1_993,додати,/upakovka-42sht-prezervatyviv-riznoho-rozmiru-loovara-49mm,/,КАТАЛОГ,"Упаковка 42шт презервативів різного розміру Loovara, 49мм",17,619,1,130,2025-08-20T22:09:31.802218,super_optimized_evaluate_all
page_1_994,додати,/upakovka-42sht-prezervatyviv-riznoho-rozmiru-loovara-53mm,/,КАТАЛОГ,"Упаковка 42шт презервативів різного розміру Loovara, 53мм",17,620,1,131,2025-08-20T22:09:31.802219,super_optimized_evaluate_all
page_1_996,додати,/upakovka-42sht-prezervatyviv-riznoho-rozmiru-loovara-60mm,/,КАТАЛОГ,"Упаковка 42шт презервативів різного розміру Loovara, 60мм",17,622,1,132,2025-08-20T22:09:31.802220,super_optimized_evaluate_all
page_1_997,додати,/upakovka-42sht-prezervatyviv-riznoho-rozmiru-loovara-64mm,/,КАТАЛОГ,"Упаковка 42шт презервативів різного розміру Loovara, 64мм",17,623,1,133,2025-08-20T22:09:31.802221,super_optimized_evaluate_all
page_1_998,додати,/upakovka-42sht-prezervatyviv-riznoho-rozmiru-loovara-69mm,/,КАТАЛОГ,"Упаковка 42шт презервативів різного розміру Loovara, 69мм",17,624,1,134,2025-08-20T22:09:31.802222,super_optimized_evaluate_all
page_1_999,додати,/keis-iz-lohotypom-one-z-prezervatyvamy,/,КАТАЛОГ,"Кейс із логотипом ONE, з презервативами, Бірюзовий",17,625,1,135,2025-08-20T22:09:31.802223,super_optimized_evaluate_all
page_1_1000,додати,/keis-dlia-prezervatyviv,/,КАТАЛОГ,"Кейс для презервативів, Голубий",17,626,1,136,2025-08-20T22:09:31.802224,super_optimized_evaluate_all
page_1_1001,додати,/keis-dlia-prezervatyviv-pink,/,КАТАЛОГ,"Кейс для презервативів, Рожевий",17,627,1,137,2025-08-20T22:09:31.802225,super_optimized_evaluate_all
page_1_1010,додати,/lubrykant-na-vodnii-osnovi-one-oasis,/,КАТАЛОГ,Лубрикант на водній основі ONE Oasis,17,636,1,138,2025-08-20T22:09:31.802226,super_optimized_evaluate_all
page_1_1011,додати,/lubrykant-na-sylikonovii-osnovi-one-move,/,КАТАЛОГ,Лубрикант на силіконовій основі ONE Move,17,637,1,139,2025-08-20T22:09:31.802227,super_optimized_evaluate_all
page_1_1012,додати,/naturalnyi-lubrykant-na-vodnii-osnovi-lifestyles-natural,/,КАТАЛОГ,Натуральний лубрикант на водній основі Lifestyles Natural,17,638,1,140,2025-08-20T22:09:31.802228,super_optimized_evaluate_all
page_1_1013,додати,/lubrykant-na-sylikonovii-osnovi-skyn-all-night-long,/,КАТАЛОГ,Лубрикант на силіконовій основі SKYN All Night Long,17,639,1,141,2025-08-20T22:09:31.802229,super_optimized_evaluate_all
page_1_1014,додати,/zihrivaiuchyi-lubrykant-dlia-seksu-orgie-lube-tube-hot,/,КАТАЛОГ,"Лубрикант з зігріваючим ефектом на водній основі LUBE TUBE HOT, 150 мл – Orgie (Бразилія-Португалія)",17,640,1,142,2025-08-20T22:09:31.802230,super_optimized_evaluate_all
page_1_1015,додати,/okholodzhuiuchyi-lubrykant-dlia-seksu-orgie-lube-tube-cool,/,КАТАЛОГ,"Охолоджуюча змазка (лубрикант) LUBE TUBE COOL, 150 мл ORGIE (Бразилія-Португалія)",17,641,1,143,2025-08-20T22:09:31.802231,super_optimized_evaluate_all
page_1_1016,додати,/orhanichnyi-lubrykant-z-ekstraktom-romashky-orgie-bio-chamomile,/,КАТАЛОГ,"Органічний лубрикант з екстрактом ромашки CHAMOMILE, 100 мл, ORGIE BIO (Бразилія-Португалія)",17,642,1,144,2025-08-20T22:09:31.802232,super_optimized_evaluate_all
page_1_1017,додати,/orhanichnyi-lubrykant-z-ekstraktom-aloe-vera-orgie-bio-aloe-vera,/,КАТАЛОГ,"Органічний лубрикант з екстрактом алое вера ALOE VERA, 100 мл. ORGIE BIO (Бразилія-Португалія)",17,643,1,145,2025-08-20T22:09:31.802233,super_optimized_evaluate_all
page_1_1018,додати,/lubrykant-na-vodnii-osnovi-bijoux-indiscrets-sex-au-naturel-30ml,/,КАТАЛОГ,"Лубрикант на водній основі Bijoux Indiscrets Sex au Naturel, 30мл, Нейтральний",17,644,1,146,2025-08-20T22:09:31.802234,super_optimized_evaluate_all
page_1_1019,додати,/lubrykant-na-vodnii-osnovi-bijoux-indiscrets-sex-au-naturel-30ml-coconut,/,КАТАЛОГ,"Лубрикант на водній основі Bijoux Indiscrets Sex au Naturel, 30мл, Кокос",17,645,1,147,2025-08-20T22:09:31.802235,super_optimized_evaluate_all
page_1_1020,додати,/lubrykant-na-vodnii-osnovi-bijoux-indiscrets-sex-au-naturel-30ml-aloe-vera,/,КАТАЛОГ,"Лубрикант на водній основі Bijoux Indiscrets Sex au Naturel, 30мл, Алое вера",17,646,1,148,2025-08-20T22:09:31.802236,super_optimized_evaluate_all
page_1_1021,додати,/lubrykant-na-vodnii-osnovi-bijoux-indiscrets-sex-au-naturel-30ml-z-hialuronom,/,КАТАЛОГ,"Лубрикант на водній основі Bijoux Indiscrets Sex au Naturel, 30мл, З гіалуроном",17,647,1,149,2025-08-20T22:09:31.802237,super_optimized_evaluate_all
page_1_1025,додати,/zihrivaiuchyi-lubrykant-na-vodnii-osnovi-system-jo-h2o-warming-z-ekstraktom-perechnoi-miaty,/,КАТАЛОГ,"Зігріваючий лубрикант на водній основі System JO H2O WARMING з екстрактом перечної мʼяти, 30 мл",17,651,1,150,2025-08-20T22:09:31.802238,super_optimized_evaluate_all
page_1_1026,додати,/zihrivaiuchyi-lubrykant-na-vodnii-osnovi-system-jo-h2o-warming-z-ekstraktom-perechnoi-miaty-60-ml,/,КАТАЛОГ,"Зігріваючий лубрикант на водній основі System JO H2O WARMING з екстрактом перечної мʼяти, 60 мл",17,652,1,151,2025-08-20T22:09:31.802239,super_optimized_evaluate_all
